RET16EC004,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,A, EC230,B+, EC206,B+, EC232,A, EC208,B+, MA204,O,HS210,B+
RET16EC006,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A, EC204,A, EC230,B, EC206,B, EC232,B+, EC208,B+, MA204,O,HS210,C
RET16EC007,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A, EC204,O, EC230,B+, EC206,B+, EC232,A, EC208,A, MA204,A+,HS210,B
RET16EC008,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,A, EC230,B, EC206,A, EC232,B+, EC208,O, MA204,B+,HS210,B
RET16EC009,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,A+, EC230,A, EC206,B+, EC232,A+, EC208,A, MA204,O,HS210,C
RET16EC010,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,A+, EC230,B+, EC206,B, EC232,B+, EC208,A+, MA204,A+,HS210,B+
RET16EC011,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A+, EC204,A, EC230,B+, EC206,B+, EC232,A+, EC208,A+, MA204,O,HS210,B
RET16EC012,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B, EC204,F, EC230,B+, EC206,C, EC232,A, EC208,B, MA204,B+,HS210,B
RET16EC013,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B, EC204,B+, EC230,B, EC206,C, EC232,B+, EC208,B, MA204,A,HS210,C
RET16EC014,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,C, EC230,C, EC206,F, EC232,B+, EC208,P, MA204,F,HS210,C
RET16EC015,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,O, EC204,A, EC230,B+, EC206,B, EC232,A, EC208,A+, MA204,O,HS210,B
RET16EC016,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A+, EC204,O, EC230,B+, EC206,B+, EC232,A+, EC208,B+, MA204,O,HS210,B+
RET16EC017,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,B+, EC230,B+, EC206,B, EC232,A, EC208,O, MA204,O,HS210,B
RET16EC018,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,B+, EC230,B+, EC206,F, EC232,B+, EC208,B, MA204,B+,HS210,C
RET16EC019,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B, EC204,B, EC230,B, EC206,C, EC232,B+, EC208,B+, MA204,B+,HS210,F
